station	lon     	lat     	v_vert	v_std
COFC	-105.160448	40.593369	-0.945	0.739
COH1	-95.542609	29.670337	-1.361	0.539
COH2	-95.411605	29.628531	-0.599	0.463
COKO	-80.794076	28.511718	-0.337	0.475
COL3	-80.262184	44.485137	-1.562	0.523
COLB	-83.045768	39.959761	-1.715	0.421
COLI	9.380485	46.138872	1.134	0.457
COLO	-67.803979	-22.167383	3.953	1.961
COLR	16.422200	40.193362	0.991	0.460
COMB	-1.029351	47.703877	-0.336	0.159
COMO	9.095622	45.802163	3.846	0.475
CONT	-73.025378	-36.842839	-3.848	0.421
CONZ	-73.025518	-36.843777	-3.510	1.413
COOB	134.722575	-29.034711	0.565	0.288
COON	-112.121011	40.652591	0.509	0.159
COPO	-70.338236	-27.384527	1.520	1.064
COPR	-119.879525	34.414907	1.071	0.264
CORK	-8.532985	51.884884	1.191	0.173
CORL	13.303863	37.894384	0.299	0.140
CORM	175.749558	-36.865431	-0.110	0.747
CORT	9.152871	42.298871	0.905	1.352
CORU	34.982204	40.570412	0.628	0.258
CORV	-123.304605	44.585535	-0.208	0.199
COSA	-111.882164	33.568726	2.114	0.155
COST	28.657531	44.161500	0.532	0.156
COT2	-110.830933	32.237484	2.244	0.464
COTN	-92.486128	47.167055	-0.960	0.171
COUL	1.544987	48.654430	-0.409	0.160
COUP	-122.685605	48.217311	-0.119	0.372
COUT	-0.117603	45.041051	-0.719	0.385
COVG	-90.095541	30.475914	-0.766	0.186
CPAC	-82.934298	43.010518	-1.122	0.279
CPAR	15.783251	50.039551	0.342	0.288
CPBN	-117.573023	35.071734	0.243	0.213
CPNT	18.489706	-34.353285	1.146	0.384
CPSN	1.603873	49.747532	-0.502	0.282
CPUD	-120.314224	47.430178	-0.421	0.908
CPXF	-122.256519	46.840085	-1.331	0.346
CRA1	-39.415606	-7.238019	0.827	0.328
CRAC	16.435178	40.381402	0.172	0.129
CRAK	13.729242	50.102393	0.480	0.126
CRAO	33.990983	44.413260	0.713	0.128
CRAT	-116.569253	36.807667	0.811	0.353
CRBG	-112.635251	43.830297	0.258	0.194
CRBR	-71.790146	-16.996295	1.342	1.062
CRBT	-120.750754	35.791611	1.333	0.119
CREU	3.315603	42.318843	-0.705	0.212
CRFP	-117.099681	34.039052	0.083	0.347
CRKP	115.841203	-31.942496	-0.016	1.227
CRKS	-96.628223	47.765331	-1.829	0.254
CRL0	153.421517	-27.537712	-3.724	1.375
CRLM	16.547349	39.278360	0.201	0.479
CRND	-110.257164	31.347874	1.308	0.568
CRO1	-64.584319	17.756898	-1.638	0.547
CRRS	-115.735041	33.069808	0.695	0.267
CRSC	-70.079782	-20.917675	3.288	0.574
CRST	-86.506171	30.726076	-0.879	0.156
CRU1	-119.784811	34.029260	0.617	0.241
CRUZ	-72.672110	-7.611162	0.028	1.247
